botornot,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount
0,2.0,0.0,0.0,19.0,13.0,81.0,15.0,5.0,118.0,19.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0
0,1.0,1.0,1.0,19.0,7.0,92.0,13.0,1.0,118.0,19.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,2.0,0.0,19.0,2.0,81.0,8.0,4.0,101.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,15.0,4.0,57.0,5.0,5.0,73.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,24.0,10.0,93.0,12.0,1.0,122.0,24.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,0.0,0.0,13.0,13.0,73.0,10.0,1.0,103.0,13.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,0.0,0.0,0.0,17.0,4.0,74.0,4.0,0.0,86.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,3.0,0.0,23.0,14.0,84.0,16.0,2.0,124.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,1.0,1.0,22.0,4.0,91.0,15.0,6.0,119.0,22.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
0,3.0,0.0,0.0,16.0,10.0,76.0,13.0,1.0,107.0,16.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0
0,2.0,0.0,0.0,13.0,14.0,56.0,12.0,6.0,91.0,13.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,0.0,0.0,22.0,9.0,101.0,8.0,2.0,123.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,19.0,9.0,78.0,11.0,1.0,105.0,19.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,0.0,0.0,24.0,3.0,95.0,6.0,1.0,109.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,21.0,5.0,104.0,11.0,0.0,121.0,21.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0
0,0.0,0.0,3.0,20.0,2.0,77.0,15.0,6.0,103.0,20.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
0,1.0,0.0,0.0,5.0,4.0,34.0,9.0,4.0,52.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
