,created_at,text,screen_name,followers,friends,rt,fav,0,0
69,Wed Jun 07 16:26:01 +0000 2017," '""RT @imajsaclaimant: Please listen: Why #GE2017 is so important for our NHS | A speech by @DancingTheMind #VoteLabour and #onlyLabour https:…""'", 'CloudChild9',108,438,0,0,-0.5,0
70,Wed Jun 07 16:26:01 +0000 2017," '""Corbyn ..... standard Labour scumbag IRA and ISLAMIC hate mob. Great for Britain this guy 👎👎👎 https://t.co/dHfGNioGPy""'", 'animalfriend666',657,480,0,0,-0.5,0
71,Wed Jun 07 16:26:01 +0000 2017," '""RT @melaniekmelvin: This is terrifying. https://t.co/WUuHigXKrH""'", 'Obblomovv92',1170,1381,0,0,-0.5,0
72,Wed Jun 07 16:26:01 +0000 2017," '""RT @relovedreams: We brits do hate a bully #GeneralElection17 https://t.co/qAvJkbxuw6""'", 'BigDollarRich',1073,1792,0,0,-0.5,0
73,Wed Jun 07 16:26:01 +0000 2017," '""RT @racheleden: Tomorrow is the big day #GE2017 #votethursday #votelabour https://t.co/7WgsIh9X2a""'", 'REDCaversham',1081,1187,0,0,-0.5,0
74,Wed Jun 07 16:26:01 +0000 2017," '""RT @tangerinetearss: theresa may after running through a wheat field https://t.co/IlNOChOWg3""'", 'yung401k',1609,823,0,0,-0.5,0
75,Wed Jun 07 16:26:01 +0000 2017," '""RT @lisa_alba: Apologist for Snickers: Twitter users hit back against attack on Corbyn https://t.co/jd7nD3Mtix""'", 'JTS_65',4140,4729,0,0,-0.5,0
76,Wed Jun 07 16:26:01 +0000 2017," '""RT @yorkierosie: Unsurprising...most cabbies have a wealth of common sense and empathy..... https://t.co/zic3tAEMMn""'", 'snmccolgan',1570,681,0,0,-0.5,0
77,Wed Jun 07 16:26:01 +0000 2017," '""RT @North_landWASPI: Statement from @jeremycorbyn re @WASPI_Campaign #GE17 https://t.co/Wb17JxGZNi""'", 'Elizabe00327669',64,12,0,0,-0.5,0
78,Wed Jun 07 16:26:01 +0000 2017," '""RT @ScotTories: With us: it’s clear. \n\nNo to #indyref2 No to more uncertainty. No to the division it would cause our country.… ""'", 'ClassicLibScot',331,526,0,0,-0.5,0
79,Wed Jun 07 16:26:01 +0000 2017," '""RT @UKLabour: We cannot last another 5 years of Tory cuts and failings. RT the facts and #VoteLabour tomorrow ↓ https://t.co/1B4A0KhQRA""'", 'Gowithbazza1',10,50,0,0,-0.5,0
80,Wed Jun 07 16:26:01 +0000 2017," '""RT @Oldstanman: A heavily disguised Jeremy Corbyn meets with Martin McGuinness of the IRA\n #lastminutecorbynsmears https://t.co/5RkRjvSXpu""'", 'zaman_anjem',87,172,0,0,-0.5,0
81,Wed Jun 07 16:26:01 +0000 2017," '""RT @CNN: British PM Theresa May says human rights laws will be changed """"if they get in the way"""" of the fight against terror… ""'", 'iniigirl',491,155,0,0,-0.5,0
82,Wed Jun 07 16:26:01 +0000 2017," '""@MorganLeeReddin Unless the vote tory""'", 'Gazamate',189,391,0,0,-0.5,0
83,Wed Jun 07 16:26:01 +0000 2017," '""RT @OpiniumResearch: Labour is now the most trusted party to lead the Brexit negotiations amongst Remain voters #ge2017… ""'", 'graceblakeley',1120,803,0,0,-0.5,0
84,Wed Jun 07 16:26:01 +0000 2017," '""RT @Independent: Here\'s some bad news about your household water bill https://t.co/tDvqRZ7VNI https://t.co/sf4OqaobFk""'", 'AnnGBower',117,371,0,0,-0.5,0
85,Wed Jun 07 16:26:01 +0000 2017," '""Follow me for the latest #GE2017 election results as they\'re announced \n#bbcelection https://t.co/DdepBxlN0O""'", 'BBCNews',8350699,100,0,0,-0.5,0
86,Wed Jun 07 16:26:01 +0000 2017," '""Follow me for the latest #GE2017 election results as they\'re announced \n#bbcelection https://t.co/wD6lsP4xE4""'", 'BBCWorld',19992383,83,0,0,-0.5,0
87,Wed Jun 07 16:26:02 +0000 2017," '""RT @tangerinetearss: theresa may after running through a wheat field https://t.co/IlNOChOWg3""'", 'beffxxxxx',517,347,0,0,-0.5,0
88,Wed Jun 07 16:26:02 +0000 2017," '""RT @WillBlackWriter: The Tories admit they are trying to scam YOU.\n\nTweet the hell out of this https://t.co/6LMfCUOmIl""'", 'ProsperBuild',741,697,0,0,-0.5,0
89,Wed Jun 07 16:26:02 +0000 2017," '""RT @Sheff_Schools: Check out my thoughts on the Tory manifesto education policy in the Sheffield Telegraph tomorrow. @shftelegraph @learnsh…""'", 'learnsheffield',2566,4989,0,0,-0.5,0
90,Wed Jun 07 16:26:02 +0000 2017," '""RT @mtracey: Something crucial to bear in mind when considering the causes of Corbyn\'s rise -- from July 2016… ""'", 'NancyVolle',502,111,0,0,-0.5,0
91,Wed Jun 07 16:26:02 +0000 2017," '""RT @alex_makel: You and I are gonna live for labour https://t.co/Avd0WapU47""'", 'DylankKenny',1632,1042,0,0,-0.5,0
92,Wed Jun 07 16:26:02 +0000 2017," '""RT @Oldstanman: A heavily disguised Jeremy Corbyn meets with Martin McGuinness of the IRA\n #lastminutecorbynsmears https://t.co/5RkRjvSXpu""'", 'CaomhanKeane',799,703,0,0,-0.5,0
93,Wed Jun 07 16:26:02 +0000 2017," '""RT @Hephaestus7: This campaign has proved it: the Tories are still the nasty party | Kate Maltby | Opinion | The Guardian https://t.co/Qb3j…""'", 'ElizaBelta',719,1009,0,0,-0.5,0
94,Wed Jun 07 16:26:02 +0000 2017," '""RT @JoshuaSoane: The United Kingdom has enjoyed economic success under the Conservatives. Let\'s keep it that way. #VoteConservative… ""'", 'jamesiantaylor',407,549,0,0,-0.5,0
95,Wed Jun 07 16:26:02 +0000 2017," '""RT @dr_alex_gates: Spread the word! Save the NHS! #VoteNHS !! #DontVoteTory https://t.co/FYgTGm71x4""'", '60sleigh',793,404,0,0,-0.5,0
96,Wed Jun 07 16:26:02 +0000 2017," '""RT @Oldstanman: A heavily disguised Jeremy Corbyn meets with Martin McGuinness of the IRA\n #lastminutecorbynsmears https://t.co/5RkRjvSXpu""'", 'HenryCPorter',4700,2719,0,0,-0.5,0
97,Wed Jun 07 16:26:02 +0000 2017," '""RT @YouGov: 33% of Brits think Theresa May running through a wheat field was a very/quite naughty thing to do… ""'", 'AndrewCrines',2961,3163,0,0,-0.5,0
98,Wed Jun 07 16:26:03 +0000 2017," '""RT @JJReid13: Surely all it takes is Stormzy to call Gavin Barwell a """"backup dancer"""" and Croydon\'s a safe Labour seat?""'", 'iam_the_starman',826,1687,0,0,-0.5,0
99,Wed Jun 07 16:26:03 +0000 2017," '""RT @jonlis1: May abandoned the national interest the day she abandoned the single market. She may not pay the price for that- bu… ""'", 'LalaithB',550,3329,0,0,-0.5,0
100,Wed Jun 07 16:26:02 +0000 2017," '""RT @PennyRed: The Tories are betting against us- but young people can change the course of British history by voting tomorrow. Stand up. Be…""'", 'cosmicvisitors',85,140,0,0,-0.5,0
101,Wed Jun 07 16:26:03 +0000 2017," '""RT @stephenkb: I\'ve spent a lot of time talking to people about Labour\'s poll surge. Here are some thoughts about it: https://t.co/SUKzPGIv…""'", 'rachelkennedy84',5855,1986,0,0,-0.5,0
102,Wed Jun 07 16:26:03 +0000 2017," '""RT @HackneyAbbott: Touched by all the messages of support. Still standing! Will rejoin the fray soon. Vote Labour!""'", 'davemuse',92,261,0,0,-0.5,0
