created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 12 12:05:09 +0000 2017', '"Maybe they have had to delay the #QueensSpeech so there is enough time to swear in all of the new #Labour MPs. #GE2017 🔥🔥🔥🔥"', 'wolfmanbass', 185, 765, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @jeremycorbyn: 30 years ago today Diane Abbott became an MP. As the first black woman MP she continues to inspire &amp; represent the… "', 'wfb4n1', 74, 2317, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @LipskisGhost: @racybearhold If Labour was doing this there would be calls for a military coup"', 'StarSparkle_UK', 5646, 5024, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @Number10cat: Michael Gove is in the building. \nThis is not a drill!\nTheresa May has gone full sod them on the electorate.\n#reshuffle…"', 'homewiththecats', 13, 41, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…"', 'cosgroveangei', 383, 135, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @tom_watson: I hope all Labour members celebrate the enthusiasm of young voters who shaped this election. Despite Tory chaos the future…"', 'vivelecommonlaw', 1064, 1908, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @adampayne26: things are back to normal in Labour then https://t.co/MrDLvIKh1I"', 'willieckerslike', 116, 54, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @estwebber: Gerry Adams: We dont think any deal between the DUP and Tories is good for people here"', 'nscoll', 126, 638, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"Who has the power to stop this tory mess? The Queen, MPs, the public?"', 'scotslassnow', 1780, 2179, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"‣ Sometimes Our Nightmares Don’t Come True: the... | When Theresa May called a snap... | https://t.co/SXUQyKQDPR | @NatCounterPunch"', 'KamalShaqi', 1056, 762, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @OwenJones84: Under Theresa May as Home Secretary, LGBT refugees had to film themselves having sex to prove they were LGBT. https://t.…"', 'lameirasb', 270, 508, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @Rachael_Swindon: Jeremy Hunt will be staying on as health secretary, just incase you needed confirmation of what Theresa May thinks of…"', 'David96212152', 8, 71, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @Kevin_Maguire: Labours sweetest defeat &amp; Cons bitterest victory. Why May should go in national interest and we hold 2nd election https…"', 'gary384', 62, 22, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…"', 'WesBez88', 220, 500, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @racybearhold: #GE2017 Imagine Corbyn and Labour delaying the Queens Speech, going into coalition with Sinn Fein, blatantly ignor… "', 'MartinPorritt', 140, 482, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @jdportes: This explains why No deal better than bad deal line weakens UK negotiating position &amp; makes no deal more likely… "', 'jdportes', 35580, 539, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @VictoriaPeckham: Theresa May &amp; Amber Rudd arrive for their negotiations with the DUP. https://t.co/UkPQOZXGRX"', 'storiesofyrlife', 208, 267, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @AlexJCharlton: Shocking! May cancels Queen’s Speech next Monday. We’re watching death of the Conservatives. #JoinLabour #Corbyn2017 htt…"', 'frankie_888', 239, 246, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @spikedonline: May’s loss revealed a Tory Party that stands for nothing and no one, writes @Tom_Slater_ https://t.co/DTveGrI1Ik https://…"', 'newacademic', 2233, 3479, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @JohnHealey_MP: Tories claim housing is a priority but four days on still no housing minister. Labour would be setting up a new Housing…"', 'Mark_ED_Lowe', 820, 1525, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @jonsnowC4: Here we go..for those too young to remember. Portadown has been the scene of some very nasty stuff down the years. https://t…"', 'JohnStrawson', 890, 1030, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"The fact most of Tory MPs have backed May and said her judgement is good? Let them die on their selfserviant swords?"', 'winlad6', 20, 81, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @hopbin: Tom Watson asks Theresa #May if Rupert #Murdoch influenced her cabinet reshuffle. https://t.co/p8V8jtEepc via @HuffPostUKPol"', 'scytheanon', 2065, 1895, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"RT @Awifefirst: Can someone tell Labour that their Manifesto also contains the so called hard Brexit? Posturing on this isnt helpi… "', 'whatsinitforme', 1024, 1995, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"When your local MP no longer uses Twitter. #Tories https://t.co/a1EGNhBmiF"', 'alex_pegg', 326, 255, 0, 0
'Mon Jun 12 12:05:12 +0000 2017', '"RT @DavidJo52951945: It is totally unacceptable for the UK to pay an EU divorce bill, our weak politicians need to grow a spine https://t.c…"', 'dencan123', 792, 1348, 0, 0
'Mon Jun 12 12:05:12 +0000 2017', '"RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…"', 'hamdayassln', 359, 140, 0, 0
'Mon Jun 12 12:05:12 +0000 2017', '"while some people in Labour still don’t believe in Corbyn, the figures speak for themselves https://t.co/iJYwzAQODc #corbyn #labour"', 'schestowitz', 7014, 973, 0, 0
'Mon Jun 12 12:05:11 +0000 2017', '"hello, Im here to negotiate Brexit on behalf of Theresa May https://t.co/B2qu0WxGVB"', 'mrreptoid', 1020, 986, 0, 0
'Mon Jun 12 12:05:12 +0000 2017', '"just caught up with @frankieboyle s New world order, tear inducingly funny, see it here https://t.co/hnNNnlJGZF #GE2017"', 'gsmokeyjoe', 137, 235, 0, 0
'Mon Jun 12 12:05:12 +0000 2017', '"RT @silverrich39: This vile pretence of a human being, would be calamitous for UK. The only thing he excels in, is bluster! Compare… "', 'Right2LeftUK', 1202, 1633, 0, 0
'Mon Jun 12 12:05:12 +0000 2017', '"RT @ElleHa: this website has given us some phenomenally bad takes but poor Theresa May takes the whole fucking pack of digestives"', 'Notinaboyband', 960, 264, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @PeoplesMomentum: Theres a huge task ahead - but never again can anyone say you cant change the world.\n✔ https://t.co/a1MDh6DlnP\n✔… "', 'Unsilversurfer', 235, 322, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"So they curve you and you give them 35k to prove a point? \U0001f926🏾\u200d♂️ https://t.co/8Rm89paNri"', 'PYSNGR', 27502, 746, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…"', 'Charliemccord16', 275, 271, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @palestininianpr: Labour Party voters have made crystal clear they dont want another Blairite Tory tribute party. The real Labour Party…"', 'Averyatswanpond', 807, 1301, 0, 0
'Mon Jun 12 12:05:13 +0000 2017', '"RT @DiligentTruth: She is #PureEvil https://t.co/nT46Q8NWhK"', 'UmerSadozai', 302, 449, 0, 0
